"","﻿Tunning","Sample size","hyperparm","algorithm+score","Cases","","algoname","indtest","score","alpha","penalty","prior","config id","precision","recall","BSF","f1","shd","tp","fp","fn","tn","nEdgesGtPag","a","i","nEdgesPag","tp_undirect","tp_bidirect","tp_o_direct","f1_bde","f1_bic","f1_ll","f1_aic","shd_ll","kl_f1","kl_shd","mi_f1","mi2_f1","Dynamic tuning_F1","Dynamic tuning_SHD","BDeu tuning_F1","BDeu tuning_SHD","BIC tuning_F1","BIC tuning_SHD","Dynamic BDeu/AIC tuning_F1","Dynamic BDeu/AIC tuning_SHD","AIC tuning_F1","AIC tuning_SHD","MI tuning_F1","MI tuning_SHD","Best_config_F1","Best_config_SHD","Best_config_F1","Best_config_SHD"
"36","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","16","none",36,"0.346666667",0.25,0.245,"0.29010989",6.1,2,0.1,6,19.9,8,8,20,5.8,0,0,0,"NA",-238.0248431,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","17","none",37,"0.346666667",0.25,0.245,"0.29010989",6.1,2,0.1,6,19.9,8,8,20,5.8,0,0,0,"NA",-238.0248431,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","18","none",38,"0.353333333",0.25,0.245,"0.292307692",6.1,2,0.1,6,19.9,8,8,20,5.7,0,0,0,"NA",-238.8404676,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","19","none",39,"0.366666667",0.25,0.245,"0.296703297",6.1,2,0.1,6,19.9,8,8,20,5.5,0,0,0,"NA",-238.9502817,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","OCT",1000,NA,NA,"ASIA",NA,"hc","none","bic","none","20","none",40,"0.366666667",0.25,0.245,"0.296703297",6.1,2,0.1,6,19.9,8,8,20,5.5,0,0,0,"NA",-238.9502817,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","1",41,"0.7125",0.6625,0.6075,"0.68504902",3.8,5.3,1.1,2.7,18.9,8,8,20,7.6,0,0,0,"NA",-235.6395209,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","2",42,"0.746428571",0.675,0.63,"0.708333333",3.5,5.4,0.9,2.6,19.1,8,8,20,7.3,0,0,0,"NA",-235.3320539,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","3",43,"0.798214286",0.7125,0.6775,"0.7525",3,5.7,0.7,2.3,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","0.098461538","0.210526316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","4",44,"0.828571429",0.7375,0.7025,"0.78",2.8,5.9,0.7,2.1,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","5",45,"0.814285714",0.725,0.69,"0.766666667",2.9,5.8,0.7,2.2,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","6",46,"0.8",0.7125,0.6775,"0.753333333",3,5.7,0.7,2.3,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","7",47,"0.8",0.7125,0.6775,"0.753333333",3,5.7,0.7,2.3,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","8",48,"0.798214286",0.7125,0.6775,"0.7525",3,5.7,0.7,2.3,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0984615378327232,0.210526315789474
"49","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","9",49,"0.783928571",0.7,0.665,"0.739166667",3.1,5.6,0.7,2.4,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","10",50,"0.771428571",0.6875,0.6525,"0.726666667",3.2,5.5,0.7,2.5,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","11",51,"0.757142857",0.675,0.64,"0.713333333",3.3,5.4,0.7,2.6,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","12",52,"0.757142857",0.675,0.64,"0.713333333",3.3,5.4,0.7,2.6,19.3,8,8,20,7.2,0,0,0,"NA",-234.8104532,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","13",53,"0.794642857",0.7,0.675,"0.744166667",2.9,5.6,0.5,2.4,19.5,8,8,20,7.1,0,0,0,"NA",-234.9370637,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","14",54,"0.808928571",0.7125,0.6875,"0.7575",2.8,5.7,0.5,2.3,19.5,8,8,20,7.1,0,0,0,"NA",-234.9370637,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","15",55,"0.808928571",0.7125,0.6875,"0.7575",2.8,5.7,0.5,2.3,19.5,8,8,20,7.1,0,0,0,"NA",-234.9370637,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","16",56,"0.857142857",0.75,0.73,"0.8",2.4,6,0.4,2,19.6,8,8,20,7,0,0,0,"NA",-234.9956719,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","17",57,"0.857142857",0.75,0.73,"0.8",2.4,6,0.4,2,19.6,8,8,20,7,0,0,0,"NA",-234.9956719,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","18",58,"0.857142857",0.75,0.73,"0.8",2.4,6,0.4,2,19.6,8,8,20,7,0,0,0,"NA",-234.9956719,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","19",59,"0.871428571",0.7625,0.7425,"0.813333333",2.3,6.1,0.4,1.9,19.6,8,8,20,7,0,0,0,"NA",-234.9956719,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","OCT",1000,NA,NA,"ASIA",NA,"mcmc","none","bdeu","none","none","20",60,"0.871428571",0.7625,0.7425,"0.813333333",2.3,6.1,0.4,1.9,19.6,8,8,20,7,0,0,0,"NA",-234.9956719,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","OCT",1000,NA,NA,"ASIA",NA,"pc","x2","none","0.05","none","none",61,"0.335",0.21875,0.21375,"0.263186813",5.725,1.75,0.1,6.25,19.9,8,8,20,5.1,0.625,0,0,"NA",-247.8460132,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","OCT",1000,NA,NA,"ASIA",NA,"pc","x2","none","0.01","none","none",62,"0.343333333",0.21875,0.21875,"0.267032967",5.375,1.75,0,6.25,20,8,8,20,5.1,0.875,0,0,"NA",-240.8104653,"NA","NA","NA","NA","NA","NA","NA","0.014613779","0.061135371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","OCT",1000,NA,NA,"ASIA",NA,"pc","x2","none","0.1","none","none",63,"0.358571429",0.25625,0.23125,"0.297728938",5.875,2.05,0.5,5.95,19.5,8,8,20,5.7,0.575,0,0,"NA",-249.696821,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","OCT",1000,NA,NA,"ASIA",NA,"pc","mi","none","0.05","none","none",64,"0.368333333",0.2375,0.2125,"0.287362637",6.05,1.9,0.5,6.1,19.5,8,8,20,5.1,0.55,0,0,"NA",-250.1218153,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0918580369754314,-0.0567685589519651
"65","OCT",1000,NA,NA,"ASIA",NA,"pc","mi","none","0.01","none","none",65,"0.45",0.2375,0.2325,"0.308391608",5.45,1.9,0.1,6.1,19.9,8,8,20,4.3,0.75,0,0,"NA",-245.90824,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","OCT",1000,NA,NA,"ASIA",NA,"pc","mi","none","0.1","none","none",66,"0.406904762",0.28125,0.24625,"0.330512821",5.975,2.25,0.7,5.75,19.3,8,8,20,5.5,0.475,0,0,"NA",-253.4313429,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","OCT",1000,NA,NA,"ASIA",NA,"pc","mi-sh","none","0.05","none","none",67,"0.415",0.2625,0.2425,"0.318298368",5.85,2.1,0.4,5.9,19.6,8,8,20,5,0.45,0,0,"NA",-251.5035018,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","OCT",1000,NA,NA,"ASIA",NA,"pc","mi-sh","none","0.01","none","none",68,"0.47",0.24375,0.23875,"0.318648019",5.375,1.95,0.1,6.05,19.9,8,8,20,4.2,0.775,0,0,"NA",-246.0303927,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
