ID,Variable 1,Dependency,Variable 2
371,lon310lat40,->,lon310lat50
372,lon310lat50,->,lon310lat60
373,lon310lat60,->,lon310lat70
374,lon310lat70,->,lon310lat80
375,lon310lat80,->,lon310lat90
376,lon310lat90,->,lon300lat-80
377,lon320lat-10,->,lon320lat-20
378,lon320lat-10,->,lon320lat0
379,lon320lat-20,->,lon320lat-30
380,lon320lat-30,->,lon320lat-40
381,lon320lat-40,->,lon320lat-50
382,lon320lat-50,->,lon320lat-60
383,lon320lat-60,->,lon320lat-70
384,lon320lat-70,->,lon320lat-80
385,lon320lat0,->,lon320lat10
386,lon320lat10,->,lon320lat30
387,lon320lat30,->,lon320lat50
388,lon320lat50,->,lon320lat40
389,lon320lat50,->,lon320lat60
390,lon320lat60,->,lon320lat70
391,lon320lat70,->,lon320lat80
392,lon320lat80,->,lon320lat90
393,lon320lat90,->,lon330lat-80
394,lon330lat-10,->,lon330lat-20
395,lon330lat-10,->,lon330lat0
396,lon330lat-20,->,lon330lat-30
397,lon330lat-30,->,lon330lat-40
398,lon330lat-40,->,lon330lat-50
399,lon330lat-50,->,lon330lat-60
400,lon330lat-60,->,lon330lat-70
401,lon330lat-70,->,lon330lat-80
402,lon330lat0,->,lon330lat10
403,lon330lat10,->,lon330lat20
404,lon330lat20,->,lon330lat30
405,lon330lat30,->,lon330lat40
406,lon330lat40,->,lon330lat50
407,lon330lat50,->,lon330lat60
408,lon330lat60,->,lon330lat70
409,lon330lat70,->,lon330lat80
410,lon330lat80,->,lon330lat90
411,lon330lat90,->,lon320lat-80
412,lon340lat-10,->,lon340lat-20
413,lon340lat-10,->,lon340lat0
414,lon340lat-20,->,lon340lat-30
415,lon340lat-30,->,lon340lat-40
416,lon340lat-40,->,lon340lat-50
417,lon340lat-50,->,lon340lat-60
418,lon340lat-60,->,lon340lat-70
419,lon340lat-70,->,lon340lat-80
420,lon340lat0,->,lon340lat10
421,lon340lat10,->,lon340lat20
422,lon340lat20,->,lon340lat30
423,lon340lat30,->,lon340lat40
424,lon340lat40,->,lon340lat50
425,lon340lat50,->,lon340lat60
426,lon340lat60,->,lon340lat70
427,lon340lat70,->,lon340lat80
428,lon340lat80,->,lon340lat90
429,lon340lat90,->,lon350lat-80
430,lon350lat-10,->,lon350lat-20
431,lon350lat-10,->,lon350lat0
432,lon350lat-20,->,lon350lat-30
433,lon350lat-30,->,lon350lat-40
434,lon350lat-40,->,lon350lat-50
435,lon350lat-50,->,lon320lat20
436,lon350lat-50,->,lon350lat-60
437,lon350lat-70,->,lon350lat-60
438,lon350lat-80,->,lon350lat-70
439,lon350lat0,->,lon350lat10
440,lon350lat10,->,lon350lat20
441,lon350lat20,->,lon350lat30
442,lon350lat30,->,lon350lat40
443,lon350lat40,->,lon350lat50
444,lon350lat50,->,lon350lat60
445,lon350lat60,->,lon350lat70
446,lon350lat70,->,lon350lat80
447,lon350lat80,->,lon350lat90
448,lon350lat90,->,lon340lat-80
449,lon40lat-10,->,lon40lat-20
450,lon40lat-10,->,lon40lat0
